Code;Libellé
A;Agriculture, chasse et sylviculture
B;Pêche, pisciculture, aquaculture
C;Activités extractives
D;Activités de fabrication
E;Production et distribution d'électricité, de gaz et d'eau
F;Construction
G;"Commerce ; réparation de véhicules automobiles et d'articles domestiques"
H;Hôtels et restaurants
I;Transports, activités des auxiliaires de transport et communications
J;Activités financières
K;Immobilier, locations et services aux entreprises
L;Activités d'administration publique
M;Éducation
N;Activités de santé et d'action sociale
O;Activités à caractère collectif ou personnel
P;Activités des ménages en tant qu'employeurs de personnel domestique
Q;Activités des organisations extraterritoriales
